Time1,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil
2019-02-02 00:00:00,53287,1463,33518,23014
2019-02-02 00:00:01,41029,55891,26004,50645
2019-02-02 00:00:02,41029,55891,26004,50645
2019-02-02 00:00:03,64661,40232,33460,44046
2019-02-02 00:00:04,64661,40232,33460,44046
2019-02-02 00:00:05,15879,49034,60505,8898
2019-02-02 00:00:06,15879,49034,60505,8898
2019-02-02 00:00:07,38175,40957,52382,216
2019-02-02 00:00:08,64129,48498,34172,14203
2019-02-02 00:00:09,36462,11788,4504,55448
2019-02-02 00:00:10,64129,48498,34172,14203
2019-02-02 00:00:11,36462,11788,4504,55448
2019-02-02 00:00:12,18658,9955,53189,2021
2019-02-02 00:00:13,40335,52379,19963,1888
2019-02-02 00:00:14,40335,52379,19963,1888
2019-02-02 00:00:15,40335,52379,19963,1888
2019-02-02 00:00:16,20425,56837,7202,24043
2019-02-02 00:00:17,44745,46290,27921,12231
2019-02-02 00:00:18,50390,64649,2846,23157
2019-02-02 00:00:19,0,0,0,0
2019-02-02 00:00:20,49399,19795,25455,57773
2019-02-02 00:00:21,64359,38409,15345,12604
2019-02-02 00:00:22,64302,37407,56337,48362
2019-02-02 00:00:23,22626,15622,52695,18531
2019-02-02 00:00:24,35737,51158,64173,18638
2019-02-02 00:00:25,26043,23325,56156,11842
2019-02-02 00:00:26,43659,9692,18752,38938
2019-02-02 00:00:27,55276,8194,44767,43364
2019-02-02 00:00:28,27290,22023,5709,10135
2019-02-02 00:00:29,55276,8194,44767,43364
2019-02-02 00:00:30,31474,43677,16010,281
2019-02-02 00:00:31,17378,11774,14740,58619
2019-02-02 00:00:32,26286,56455,21236,51783
2019-02-02 00:00:33,14749,3003,33027,35982
2019-02-02 00:00:34,55602,25415,55353,22846
2019-02-02 00:00:35,11520,28992,55166,27140
2019-02-02 00:00:36,62610,4379,8442,25423
2019-02-02 00:00:37,13622,59455,12529,63919
2019-02-02 00:00:38,16368,35820,41919,40533
2019-02-02 00:00:39,62283,42898,913,43205
2019-02-02 00:00:40,39888,52746,7592,38269
2019-02-02 00:00:41,14475,16814,17193,33378
2019-02-02 00:00:42,29789,31607,31795,58856
2019-02-02 00:00:43,39888,52746,7592,38269
2019-02-02 00:00:44,9696,57089,33832,64684
2019-02-02 00:00:45,35392,60267,306,39911
2019-02-02 00:00:46,35392,60267,306,39911
2019-02-02 00:00:47,34541,38938,46098,33603
2019-02-02 00:00:48,9565,30679,27766,5720
2019-02-02 00:00:49,42480,13601,41491,50524
2019-02-02 00:00:50,17002,20434,10781,46700
2019-02-02 00:00:51,2944,20532,252,31859
2019-02-02 00:00:52,62863,11794,30103,8545
2019-02-02 00:00:53,20231,22988,6740,45111
2019-02-02 00:00:54,2944,20532,252,31859
2019-02-02 00:00:55,27242,4889,30530,5397
2019-02-02 00:00:56,46328,48024,43098,56092
2019-02-02 00:00:57,24544,34616,57623,46700
2019-02-02 00:00:58,22128,62139,9147,54359
2019-02-02 00:00:59,26815,13867,26379,46781
2019-02-02 00:01:00,26815,13867,26379,46781
2019-02-02 00:01:01,28264,48144,1653,11044
2019-02-02 00:01:02,62818,65071,59375,63876
2019-02-02 00:01:03,35329,11109,53555,11695
2019-02-02 00:01:04,13962,25315,45429,58745
2019-02-02 00:01:05,50067,21517,17532,62463
2019-02-02 00:01:06,18062,58956,14517,24613
2019-02-02 00:01:07,2339,65205,58488,30717
2019-02-02 00:01:08,517,48939,47942,62400
2019-02-02 00:01:09,32843,25281,58139,817
2019-02-02 00:01:10,3260,50482,21864,17942
2019-02-02 00:01:11,3260,50482,21864,17942
2019-02-02 00:01:12,36160,28976,52227,41870
2019-02-02 00:01:13,402,50581,2266,47378
2019-02-02 00:01:14,1203,27964,50862,58738
2019-02-02 00:01:15,41898,12439,32537,52506
2019-02-02 00:01:16,55564,24970,56073,12667
2019-02-02 00:01:17,1203,27964,50862,58738
2019-02-02 00:01:18,41898,12439,32537,52506
2019-02-02 00:01:19,55564,24970,56073,12667
2019-02-02 00:01:20,27004,30797,34999,48956
2019-02-02 00:01:21,19217,62776,9899,49772
2019-02-02 00:01:22,55991,49097,55012,4529
2019-02-02 00:01:23,14707,39990,28466,36889
2019-02-02 00:01:24,14840,1324,16502,26329
2019-02-02 00:01:25,63308,34327,11966,43318
2019-02-02 00:01:26,37077,36221,2873,35115
2019-02-02 00:01:27,33384,26011,30178,13372
2019-02-02 00:01:28,5328,64643,24504,61074
2019-02-02 00:01:29,5328,64643,24504,61074
2019-02-02 00:01:30,56072,669,37038,51612
2019-02-02 00:01:31,29164,59674,24810,33092
2019-02-02 00:01:32,545,39152,51102,63409
2019-02-02 00:01:33,56072,669,37038,51612
2019-02-02 00:01:34,545,39152,51102,63409
2019-02-02 00:01:35,36827,56974,61830,61241
2019-02-02 00:01:36,60236,41541,23414,43488
2019-02-02 00:01:37,9139,55931,60847,51392
2019-02-02 00:01:38,0,0,0,0
2019-02-02 00:01:39,0,0,0,0
2019-02-02 00:01:40,29490,9925,22800,64710
2019-02-02 00:01:41,44606,34429,30123,39553
2019-02-02 00:01:42,56522,24542,26646,36936
2019-02-02 00:01:43,30803,49917,25749,27006
2019-02-02 00:01:44,31793,55760,52423,30563
2019-02-02 00:01:45,50508,8264,28906,25223
2019-02-02 00:01:46,940,2092,48029,1092
2019-02-02 00:01:47,30803,49917,25749,27006
2019-02-02 00:01:48,44297,44554,23067,11816
2019-02-02 00:01:49,940,2092,48029,1092
2019-02-02 00:01:50,11196,44504,44518,17433
2019-02-02 00:01:51,41802,7500,60016,46711
2019-02-02 00:01:52,43687,13293,20766,46559
2019-02-02 00:01:53,7364,40968,48952,49746
2019-02-02 00:01:54,61401,41561,25396,40990
2019-02-02 00:01:55,48204,1196,33590,37030
2019-02-02 00:01:56,999,55120,30289,54029
2019-02-02 00:01:57,48204,1196,33590,37030
2019-02-02 00:01:58,18316,31142,50600,62
2019-02-02 00:01:59,42937,30973,18208,37670
2019-02-02 00:02:00,18316,31142,50600,62
2019-02-02 00:02:01,5604,53444,5179,49723
2019-02-02 00:02:02,16169,53226,3977,9782
2019-02-02 00:02:03,16717,49098,19626,26508
2019-02-02 00:02:04,41878,16445,43723,57851
2019-02-02 00:02:05,61581,43770,13804,64278
2019-02-02 00:02:06,41878,16445,43723,57851
2019-02-02 00:02:07,61581,43770,13804,64278
2019-02-02 00:02:08,30353,16363,9334,19975
2019-02-02 00:02:09,6322,13703,26256,26740
2019-02-02 00:02:10,64614,31667,50882,26289
2019-02-02 00:02:11,29128,29484,1962,51185
2019-02-02 00:02:12,32483,42785,671,53221
2019-02-02 00:02:13,43545,46506,58015,5472
2019-02-02 00:02:14,5900,41232,64118,30285
2019-02-02 00:02:15,29128,29484,1962,51185
2019-02-02 00:02:16,31671,30716,45150,10647
2019-02-02 00:02:17,37041,5529,62817,30722
2019-02-02 00:02:18,39508,54308,37707,62855
2019-02-02 00:02:19,60527,21572,53430,37512
2019-02-02 00:02:20,39508,54308,37707,62855
2019-02-02 00:02:21,60527,21572,53430,37512
2019-02-02 00:02:22,32111,62645,34200,58665
2019-02-02 00:02:23,50637,54116,26302,28854
2019-02-02 00:02:24,60527,21572,53430,37512
2019-02-02 00:02:25,31170,40028,48418,55485
2019-02-02 00:02:26,4056,3250,14433,60051
2019-02-02 00:02:27,52067,60723,16060,62529
2019-02-02 00:02:28,32111,62645,34200,58665
2019-02-02 00:02:29,35273,62799,37386,34348
2019-02-02 00:02:30,18875,24460,60632,17616
2019-02-02 00:02:31,52992,30612,36115,36935
2019-02-02 00:02:32,9016,37414,34525,33780
2019-02-02 00:02:33,19162,55372,55710,5457
2019-02-02 00:02:34,61726,15505,37400,39127
2019-02-02 00:02:35,11287,3537,27844,30527
2019-02-02 00:02:36,11287,3537,27844,30527
2019-02-02 00:02:37,53287,1463,33518,23014
2019-02-02 00:02:38,38175,40957,52382,216
2019-02-02 00:02:39,18658,9955,53189,2021
2019-02-02 00:02:40,51268,25552,28376,54634
2019-02-02 00:02:41,22306,62837,53828,18882
2019-02-02 00:02:42,22306,62837,53828,18882
2019-02-02 00:02:43,40335,52379,19963,1888
2019-02-02 00:02:44,20425,56837,7202,24043
2019-02-02 00:02:45,20425,56837,7202,24043
2019-02-02 00:02:46,44745,46290,27921,12231
2019-02-02 00:02:47,44745,46290,27921,12231
2019-02-02 00:02:48,24307,17886,8631,57516
2019-02-02 00:02:49,0,0,0,0
2019-02-02 00:02:50,64302,37407,56337,48362
2019-02-02 00:02:51,0,0,0,0
2019-02-02 00:02:52,35737,51158,64173,18638
2019-02-02 00:02:53,45798,32289,56760,40844
2019-02-02 00:02:54,64302,37407,56337,48362
2019-02-02 00:02:55,22626,15622,52695,18531
2019-02-02 00:02:56,30074,4223,51679,14892
2019-02-02 00:02:57,17378,11774,14740,58619
2019-02-02 00:02:58,55276,8194,44767,43364
2019-02-02 00:02:59,26286,56455,21236,51783
2019-02-02 00:03:00,26286,56455,21236,51783
2019-02-02 00:03:01,62033,45712,53446,21777
2019-02-02 00:03:02,31248,8082,60759,24655
2019-02-02 00:03:03,47867,30611,22516,54140
2019-02-02 00:03:04,9009,28307,63138,4384
2019-02-02 00:03:05,9009,28307,63138,4384
2019-02-02 00:03:06,35392,60267,306,39911
2019-02-02 00:03:07,35392,60267,306,39911
2019-02-02 00:03:08,6190,34930,10617,20308
2019-02-02 00:03:09,9565,30679,27766,5720
2019-02-02 00:03:10,14133,33389,41705,24338
2019-02-02 00:03:11,22214,832,31095,51144
2019-02-02 00:03:12,12282,12841,58803,3968
2019-02-02 00:03:13,17002,20434,10781,46700
2019-02-02 00:03:14,22214,832,31095,51144
2019-02-02 00:03:15,42480,13601,41491,50524
2019-02-02 00:03:16,20231,22988,6740,45111
2019-02-02 00:03:17,27242,4889,30530,5397
2019-02-02 00:03:18,27242,4889,30530,5397